 AAAMOVERS_DAILY                                             column=general:Status, timestamp=1528140037602, value=COMPLETED
 CCAPS_REGULAR                                               column=general:Status, timestamp=1492563890736, value=COMPLETED
 CEPSP_ADHOC                                                 column=general:Status, timestamp=1519830332884, value=COMPLETED
 CEPSP_REGULAR                                               column=general:Status, timestamp=1521527724079, value=COMPLETED
 CITIS_ADHOC                                                 column=general:Status, timestamp=1483344382734, value=COMPLETED
 CITIS_REGULAR                                               column=general:Status, timestamp=1498584225596, value=COMPLETED
 CKSA_ADHOC                                                  column=general:Status, timestamp=1490882049078, value=COMPLETED
 CKSA_REGULAR                                                column=general:Status, timestamp=1508235454686, value=STARTED
 CKSCDRTXN_ADHOC                                             column=general:Status, timestamp=1489609309667, value=COMPLETED
 CKSCDRTXN_REGULAR                                           column=general:Status, timestamp=1527330497506, value=COMPLETED
 CKSCM_ADHOC                                                 column=general:Status, timestamp=1474278649310, value=COMPLETED
 CKSCM_REGULAR                                               column=general:Status, timestamp=1498584236965, value=COMPLETED
 CKSU_DAILY                                                  column=general:Status, timestamp=1498584242464, value=COMPLETED
 CKSU_HISTORICAL                                             column=general:Status, timestamp=1463772541993, value=COMPLETED
 CMMS3_ADHOC                                                 column=general:Status, timestamp=1489685148322, value=COMPLETED
 CMMS3_REGULAR                                               column=general:Status, timestamp=1507806217108, value=COMPLETED
 CMMS_ADHOC                                                  column=general:Status, timestamp=1488484605291, value=COMPLETED
 CMMS_REGULAR                                                column=general:Status, timestamp=1489685112638, value=COMPLETED
 CONCEPS_DAILY                                               column=general:Status, timestamp=1461053325821, value=COMPLETED
 CONCEPS_HISTORICAL                                          column=general:Status, timestamp=1459973140068, value=COMPLETED
 CPO_DAILY                                                   column=general:Status, timestamp=1524674098004, value=COMPLETED
 CPO_HISTORICAL                                              column=general:Status, timestamp=1524669239519, value=COMPLETED
 CPO_SALE_DAILY                                              column=general:Status, timestamp=1524679116374, value=COMPLETED
 CPO_SALE_HISTORICAL                                         column=general:Status, timestamp=1524680675678, value=COMPLETED
 CRMSAP_ADHOC                                                column=general:Status, timestamp=1504638656673, value=COMPLETED
 CRMSAP_REGULAR                                              column=general:Status, timestamp=1521635881544, value=COMPLETED
 CRR_ADHOC                                                   column=general:Status, timestamp=1563812513227, value=STARTED
 CRR_REGULAR                                                 column=general:Status, timestamp=1498584248081, value=COMPLETED
 DOLVOL_ADHOC                                                column=general:Status, timestamp=1482175648196, value=COMPLETED
 DOLVOL_FILE_DAILY                                           column=general:Status, timestamp=1498584257266, value=COMPLETED
 DOLVOL_FILE_HISTORICAL                                      column=general:Status, timestamp=1486998719846, value=COMPLETED
 DOLVOL_REGULAR                                              column=general:Status, timestamp=1482367645872, value=COMPLETED
 DRAGONFLY_AUSTRALIA_DAILY                                   column=general:Status, timestamp=1513029847748, value=STARTED
 DRAGONFLY_AUSTRALIA_HISTORICAL                              column=general:Status, timestamp=1500387186750, value=COMPLETED
 DRAGONFLY_DAILY                                             column=general:Status, timestamp=1501609717951, value=COMPLETED
 DRAGONFLY_HISTORICAL                                        column=general:Status, timestamp=1475767877503, value=COMPLETED
 DRAGONFLY_INDIA_DAILY                                       column=general:Status, timestamp=1509110293967, value=COMPLETED
 DRAGONFLY_INDIA_HISTORICAL                                  column=general:Status, timestamp=1498709211863, value=COMPLETED
 DRAGONFLY_MEXICO_DAILY                                      column=general:Status, timestamp=1500669912926, value=COMPLETED
 DRAGONFLY_NEWZEALAND_DAILY                                  column=general:Status, timestamp=1501598102385, value=COMPLETED
 EMSQAD_ADHOC                                                column=general:Status, timestamp=1506956550942, value=COMPLETED
 EMSQAD_REGULAR                                              column=general:Status, timestamp=1507020446278, value=COMPLETED
 EMS_QAD_REGULAR                                             column=general:Status, timestamp=1498584263253, value=COMPLETED
 ERMA_ADHOC                                                  column=general:Status, timestamp=1543528351949, value=COMPLETED
 ERMA_REGULAR                                                column=general:Status, timestamp=1543443278450, value=COMPLETED
 ESPARS_ADHOC                                                column=general:Status, timestamp=1520953304338, value=COMPLETED
 ESPARS_REGULAR                                              column=general:Status, timestamp=1521085685326, value=COMPLETED
 ETIS_DIF_ADHOC                                              column=general:Status, timestamp=1477555373468, value=COMPLETED
 ETIS_DIF_REGULAR                                            column=general:Status, timestamp=1477502459679, value=COMPLETED
 EUASAIMS_ADHOC                                              column=general:Status, timestamp=1481295098490, value=COMPLETED
 EUASAIMS_REGULAR                                            column=general:Status, timestamp=1508445147794, value=COMPLETED
 FBC_ADHOC                                                   column=general:Status, timestamp=1481224397756, value=COMPLETED
 FBC_REGULAR                                                 column=general:Status, timestamp=1570224289291, value=STARTED
 FFS_DAILY                                                   column=general:Status, timestamp=1507033268872, value=STARTED
 FFS_HISTORICAL                                              column=general:Status, timestamp=1486038909801, value=COMPLETED
 FMCCDIRECT_DAILY                                            column=general:Status, timestamp=1527257100448, value=COMPLETED
 FMCCDIRECT_HISTORICAL                                       column=general:Status, timestamp=1525889584421, value=COMPLETED
 FOEACE_ADHOC                                                column=general:Status, timestamp=1482259416349, value=COMPLETED
 FOEACE_REGULAR                                              column=general:Status, timestamp=1570224104692, value=STARTED
 FORDDIRECT_DAILY                                            column=general:Status, timestamp=1517584294243, value=COMPLETED
 FORDDIRECT_HISTORICAL                                       column=general:Status, timestamp=1518039153152, value=COMPLETED
 FORDDIRECT_HIST_DAILY                                       column=general:Status, timestamp=1524662796864, value=COMPLETED
 FORDDIRECT_HIST_HISTORICAL                                  column=general:Status, timestamp=1526581056006, value=COMPLETED
 FST_RA_ADHOC                                                column=general:Status, timestamp=1495024244554, value=COMPLETED
 FST_RA_REGULAR                                              column=general:Status, timestamp=1498584309279, value=COMPLETED
 GAPS_REGULAR                                                column=general:Status, timestamp=1491851846516, value=COMPLETED
 GCQIS_ADHOC                                                 column=general:Status, timestamp=1486035022401, value=COMPLETED
 GCQIS_REGULAR                                               column=general:Status, timestamp=1499340156278, value=COMPLETED
 GCRS_ADHOC                                                  column=general:Status, timestamp=1500673333139, value=COMPLETED
 GCRS_REGULAR                                                column=general:Status, timestamp=1500680676831, value=COMPLETED
 GCVP_DAILY                                                  column=general:Status, timestamp=1519437381735, value=COMPLETED
 GCVP_HISTORICAL                                             column=general:Status, timestamp=1510159397713, value=COMPLETED
 GEVIS_ADHOC                                                 column=general:Status, timestamp=1490108692955, value=COMPLETED
